ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
83,318900012,5.0,110,13,330.0,82.0
83,358300003,5.0,13,13,330.0,272.0
83,422204259,5.0,307,13,330.0,0.0
83,422206648,5.0,294,13,330.0,5.0
83,422208807,5.0,292,13,330.0,6.0
83,422211446,5.0,298,13,330.0,7.0
83,422211447,5.0,298,13,330.0,2.0
86,318900011,4.0,113,5,1494.0,78.0
86,318900012,4.0,110,5,1494.0,82.0
86,343100029,5.0,32,5,1494.0,326.0
86,422204795,5.0,175,5,1494.0,90.0
88,253900003,5.0,80,5,1495.0,77.0
88,253900004,5.0,81,5,1495.0,79.0
88,318900011,5.0,113,5,1495.0,78.0
88,318900012,5.0,110,5,1495.0,82.0
88,422211878,5.0,81,5,1495.0,80.0
89,318900005,5.0,89,5,1496.0,88.0
89,318900011,5.0,113,5,1496.0,78.0
89,318900012,5.0,110,5,1496.0,82.0
89,422211447,3.0,298,5,1496.0,2.0
100,249500019,5.0,151,9,548.0,36.0
100,249500027,5.0,149,9,548.0,37.0
100,318900005,5.0,89,9,548.0,88.0
100,318900009,5.0,24,9,548.0,325.0
100,318900011,5.0,113,9,548.0,78.0
100,318900019,5.0,91,9,548.0,83.0
100,422203145,5.0,148,9,548.0,39.0
100,422207413,5.0,145,9,548.0,38.0
101,100230056,5.0,213,22,53.0,25.0
101,100230057,5.0,212,22,53.0,23.0
101,100230059,5.0,213,22,53.0,21.0
101,100230064,5.0,215,22,53.0,24.0
101,200400003,5.0,213,22,53.0,22.0
101,200400004,5.0,220,22,53.0,20.0
101,318900002,5.0,75,22,53.0,147.0
101,318900011,5.0,113,22,53.0,78.0
101,318900012,5.0,110,22,53.0,82.0
101,422204027,3.0,28,22,53.0,117.0
101,422204028,3.0,29,22,53.0,118.0
101,422204777,3.0,24,22,53.0,187.0
101,422206421,3.0,28,22,53.0,181.0
101,422210400,3.0,28,22,53.0,120.0
101,422214321,3.0,28,22,53.0,122.0
101,422215804,5.0,96,22,53.0,51.0
101,422216594,5.0,216,22,53.0,19.0
101,422216990,3.0,30,22,53.0,123.0
101,422217292,5.0,98,22,53.0,47.0
102,201600141,5.0,15,6,1097.0,207.0
102,201600182,5.0,16,6,1097.0,194.0
102,318900011,4.0,113,6,1097.0,78.0
102,318900012,4.0,110,6,1097.0,82.0
106,204900013,2.0,163,35,16.0,81.0
106,211300007,5.0,80,35,16.0,98.0
106,245500002,5.0,39,35,16.0,104.0
106,245500009,5.0,39,35,16.0,105.0
106,245500010,5.0,39,35,16.0,106.0
106,249500007,5.0,95,35,16.0,52.0
106,249500013,5.0,96,35,16.0,46.0
106,253900003,5.0,80,35,16.0,77.0
106,253900004,5.0,81,35,16.0,79.0
106,318900011,4.0,113,35,16.0,78.0
106,318900012,4.0,110,35,16.0,82.0
106,365000011,5.0,29,35,16.0,114.0
